Mean and Variance of Each Signal in ExtractData
Total Signals: 208 (Formatted as 13 x 16 grid)
--------------------------------------------------
Index                 Mean        Variance
--------------------------------------------------
1                 1.712913        0.004925
2                 0.877087        0.005370
3                 0.438155        0.005561
4                 0.402816        0.005331
5                 0.242621        0.005439
6                 0.356214        0.005604
7                 0.315437        0.005868
8                 0.570291        0.004694
9                 0.618738        0.004999
10                0.714854        0.005753
11                0.568835        0.005521
12                0.903883        0.007905
13                1.746796        0.010268
14                1.803301        0.006754
15                0.984757        0.007198
16                0.408641        0.004787
17                0.403398        0.006780
18                0.324272        0.005671
19                0.391359        0.004907
20                0.458058        0.005713
21                0.643883        0.005527
22                0.577573        0.004698
23                0.546505        0.005739
24                0.537476        0.005877
25                0.866796        0.006301
26                1.880680        0.004651
27                1.899223        0.008310
28                0.793010        0.005019
29                0.476117        0.006942
30                0.405825        0.005407
31                0.341456        0.005362
32                0.484175        0.006106
33                0.538641        0.005350
34                0.584466        0.004493
35                0.446117        0.004882
36                0.455437        0.005858
37                0.490971        0.006644
38                0.876796        0.005315
39                1.828641        0.008317
40                1.767961        0.006977
41                0.873204        0.005694
42                0.494854        0.004780
43                0.427961        0.004843
44                0.450388        0.005283
45                0.600291        0.005446
46                0.535437        0.006644
47                0.479320        0.005001
48                0.363981        0.004801
49                0.409320        0.006435
50                0.457476        0.005607
51                0.879612        0.005105
52                1.827767        0.006311
53                1.751942        0.007439
54                0.747087        0.005834
55                0.405922        0.005036
56                0.426214        0.006291
57                0.545922        0.005121
58                0.567282        0.004581
59                0.498738        0.005201
60                0.389709        0.005832
61                0.328252        0.005851
62                0.364272        0.005624
63                0.528544        0.006226
64                0.947573        0.008535
65                1.940874        0.008014
66                1.823592        0.007807
67                0.872621        0.005713
68                0.708835        0.006643
69                0.729417        0.007423
70                0.643883        0.006544
71                0.474272        0.005160
72                0.359223        0.005463
73                0.280874        0.005173
74                0.276214        0.006121
75                0.311650        0.005121
76                0.384078        0.007143
77                0.679029        0.004997
78                1.651553        0.006625
79                1.693301        0.006339
80                0.960680        0.006016
81                0.849709        0.005216
82                0.840777        0.005326
83                0.624466        0.005040
84                0.483204        0.005041
85                0.337282        0.004325
86                0.341359        0.006295
87                0.294272        0.004300
88                0.402233        0.006128
89                0.499709        0.005242
90                0.873301        0.006333
91                1.782330        0.007171
92                1.798447        0.008295
93                1.228350        0.006218
94                1.039806        0.007091
95                0.832621        0.005524
96                0.587087        0.005976
97                0.446214        0.005391
98                0.335049        0.005435
99                0.360097        0.006766
100               0.305243        0.006881
101               0.398932        0.004091
102               0.500194        0.005934
103               0.810777        0.006248
104               1.788058        0.006474
105               2.025243        0.007365
106               1.521165        0.006154
107               1.103592        0.007209
108               0.821068        0.004569
109               0.528447        0.005644
110               0.459029        0.005077
111               0.360680        0.004884
112               0.377087        0.006485
113               0.350874        0.005099
114               0.426602        0.006120
115               0.446990        0.006961
116               0.891942        0.005565
117               1.741068        0.006625
118               2.469806        0.006650
119               1.757961        0.005975
120               1.186505        0.004881
121               0.844854        0.004808
122               0.616214        0.005703
123               0.571165        0.005138
124               0.450000        0.006068
125               0.499806        0.003619
126               0.453883        0.005490
127               0.492427        0.005469
128               0.672524        0.005258
129               0.979903        0.005733
130               1.799029        0.006284
131               2.479903        0.005143
132               1.628835        0.006020
133               1.058641        0.006122
134               0.867476        0.006021
135               0.685728        0.004873
136               0.638350        0.004882
137               0.557282        0.006461
138               0.601359        0.004996
139               0.564466        0.005774
140               0.757961        0.005422
141               0.855146        0.005973
142               1.240971        0.006228
143               2.032913        0.006300
144               2.095437        0.004838
145               1.181553        0.006631
146               0.826311        0.005120
147               0.740388        0.004641
148               0.587573        0.005290
149               0.573786        0.005321
150               0.537864        0.004671
151               0.614466        0.006959
152               0.631650        0.004690
153               0.840388        0.005087
154               1.039417        0.004571
155               1.519903        0.004378
156               2.447767        0.005990
157               1.743981        0.005039
158               0.941748        0.004661
159               0.633398        0.005020
160               0.563398        0.004982
161               0.458252        0.004409
162               0.476505        0.004864
163               0.472913        0.006032
164               0.535437        0.006120
165               0.614563        0.005778
166               0.845534        0.005473
167               1.119126        0.005664
168               1.769126        0.006637
169               2.482718        0.006878
170               1.843301        0.006084
171               0.910680        0.004808
172               0.529223        0.005634
173               0.457087        0.005028
174               0.364563        0.005403
175               0.404175        0.006502
176               0.358932        0.004580
177               0.491068        0.006615
178               0.563010        0.004590
179               0.826505        0.004881
180               1.182621        0.005004
181               1.646019        0.004674
182               2.063786        0.006284
183               1.869515        0.005308
184               0.864854        0.005095
185               0.488544        0.005379
186               0.398544        0.005242
187               0.292039        0.006236
188               0.351748        0.005910
189               0.317573        0.006381
190               0.451553        0.004456
191               0.524563        0.005811
192               0.857087        0.005428
193               1.061845        0.005939
194               1.208447        0.005182
195               1.727573        0.007688
196               1.908155        0.008089
197               0.885728        0.004652
198               0.472524        0.005551
199               0.388932        0.006602
200               0.252913        0.005883
201               0.343786        0.006777
202               0.302524        0.004607
203               0.486699        0.005725
204               0.591845        0.005403
205               0.877282        0.005525
206               0.792039        0.004589
207               0.938544        0.004869
208               1.787379        0.005683
--------------------------------------------------
End of Data
